CPGfrac	RPKM	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3	Input
118421	9	0	11	19	6	8	6	12	18
118427	0	0	11	30	9	16	6	24	14
118430	7	0	1	17	6	15	3	4	1
118432	8	0	14	30	16	9	7	10	23
118490	10	2	16	7	17	8	4	8	12
118611	7	0	11	14	11	11	5	12	2
118663	8	0	20	17	13	9	11	19	17
118670	8	0	9	18	13	5	7	14	12
119180	8	0	11	24	14	6	10	13	10
119437	10	1	17	7	23	13	5	8	14
119504	9	39	18	6	11	50	4	7	16
119587	7	0	13	30	11	9	11	15	20
119678	6	0	11	16	13	9	9	12	3
119679	7	0	9	10	15	5	11	11	1
119682	4	0	15	14	7	7	6	10	2
119687	7	0	9	14	8	4	5	9	9
119692	3.5	0	18	13	12	10	8	16	21
119695	7	0	11	17	9	4	10	15	13
119710	0	0	11	29	15	15	9	15	21
119749	5	0	10	10	7	5	9	14	4
119764	9	0	16	25	13	7	7	13	6
119765	6	0	11	22	8	7	7	10	10
119772	7	0	13	19	9	7	8	12	13
119774	6.5	0	18	15	14	9	6	19	11
1198	7	13	17	12	14	7	6	7	19
12	7	0	13	12	8	8	8	17	18
120	9	45	15	7	4	31	9	6	1
1200	0	138	82	5	7	42	134	4	17
120065	8	0	8	18	12	5	8	14	4
120066	5.5	0	9	14	15	8	6	7	14
120114	8	0	5	10	8	5	5	7	3
120400	7.5	0	18	12	6	4	5	12	11
120406	6	0	1	10	5	5	3	7	1
120586	8	0	6	13	10	6	2	10	1
120775	8	0	7	14	8	4	7	6	7
120776	5	0	9	24	9	5	4	9	1
120787	10	0	16	17	14	6	7	11	20
120793	4	0	17	15	13	6	9	11	7
120796	2	0	16	25	12	7	5	12	10
1208	7	0	23	38	16	13	8	12	25
120939	8	0	9	24	7	9	6	9	19
121006	10	0	11	20	12	6	5	9	16
121129	9.5	0	4	20	7	5	6	10	1
121130	9	0	12	18	8	12	5	10	14
121214	9	0	15	21	10	7	7	8	16
121273	9	0	11	20	12	5	5	13	8
121275	10	0	13	8	16	9	4	11	13
121278	4	0	12	32	11	21	7	13	10
121355	9	0	15	40	7	13	5	12	17
121364	7	0	6	17	9	7	8	12	1
121391	8	0	15	22	11	9	6	12	19
1215	4.5	0	17	29	12	9	6	7	5
121506	9	4	19	6	12	40	2	11	10
121512	9	0	13	25	16	8	8	12	17
121599	8	0	6	20	9	7	6	10	2
121793	10	0	12	12	16	8	6	11	18
121838	5.5	0	8	18	14	4	7	8	1
121952	10	0	13	7	22	7	6	8	5
122011	9	0	11	20	13	6	9	21	23
122046	6.5	0	14	30	10	11	6	16	13
122258	7	0	13	26	13	7	8	19	23
122651	9	0	11	23	11	8	6	11	14
122664	7	0	18	18	16	7	10	10	10
122665	7	0	15	27	10	10	7	7	16
122706	10	0	15	15	9	8	6	7	23
122740	7	0	16	8	16	7	11	17	1
122748	4	0	22	18	14	10	8	12	2
122786	8	0	6	20	12	6	5	6	1
122876	8	0	13	24	10	10	5	13	8
122945	10	1	13	9	37	4	4	5	17
1230	9.5	0	15	18	14	32	7	9	12
123036	7	0	14	24	14	10	9	25	23
1232	8	0	12	28	8	10	7	8	18
123264	9	0	14	21	8	16	8	8	17
1233	8.5	0	17	15	13	15	6	7	14
1234	1	0	13	27	5	37	5	2	7
1236	0	123	70	4	20	42	121	6	11
123624	8	0	11	15	8	5	6	15	14
1237	6.5	0	9	19	13	9	5	8	1
123722	5.5	0	19	4	4	53	6	6	5
123745	9	0	16	24	11	9	4	6	14
123970	8	0	7	9	14	5	6	9	19
124	9	0	5	8	6	5	5	10	1
1244	9	1	11	9	13	8	6	6	7
124404	10	0	13	15	14	8	6	9	16
124446	9	36	12	20	13	8	9	17	18
124460	0	9	68	4	19	59	95	5	19
124538	8	0	14	33	16	13	7	17	13
124599	3.5	0	14	31	9	16	7	11	14
124871	7	0	13	34	12	9	6	17	17
124912	8	0	13	20	10	9	7	13	18
124923	10	4	12	5	29	58	4	12	16
124975	9	0	16	10	10	31	6	7	22
125	4.5	0	10	19	11	10	3	7	3
125113	5	0	10	25	7	18	5	7	9
125115	7	0	12	20	8	10	5	11	5
125206	10	1	15	32	9	12	7	8	18
125488	8	2	10	30	5	10	7	7	21
1258	7	0	13	29	14	8	8	12	15
125931	9	0	11	17	12	13	9	16	17
125958	7	0	16	26	19	9	10	15	9
125962	8	0	14	22	13	8	11	13	11
125981	10	0	12	19	13	6	7	12	23
126	7	0	14	16	16	8	7	16	1
1260	7	0	6	9	8	3	5	8	3
126204	9	0	15	19	12	20	8	17	19
126205	8	0	9	24	14	7	8	11	20
126206	9	0	14	19	14	8	7	17	18
126259	8	0	11	28	9	10	6	11	18
126370	7	0	10	22	9	8	7	7	16
126541	9	0	11	26	14	9	4	40	11
126637	3.5	0	6	20	5	6	5	10	3
126767	8	0	12	18	16	8	7	10	18
126820	1.5	0	37	9	5	32	70	6	17
126868	4	0	13	18	10	34	4	9	7
1269	0	83	74	4	13	64	95	5	23
1270	9	1	12	6	25	5	9	5	6
127062	5	0	4	7	6	4	4	10	4
127064	9	0	11	10	5	6	7	14	13
127066	4	0	11	27	12	12	7	12	8
127069	10	0	3	10	4	2	3	5	8
127074	3.5	0	16	23	17	4	7	13	9
127247	7	0	13	14	10	6	6	11	9
127253	0	10	56	3	9	48	117	5	23
127294	8.5	0	14	22	10	24	7	7	18
127343	9	0	15	25	12	7	7	13	19
127385	5.5	0	9	11	7	4	7	9	1
127391	9	0	15	12	11	18	9	10	12
127495	9	3	2	9	10	3	6	5	4
127534	5	0	14	24	10	9	5	9	19
127550	10	0	16	13	13	10	9	9	20
127579	9	0	16	18	11	8	6	8	18
127665	6	0	16	36	13	9	8	13	19
127670	9	0	13	18	14	9	7	10	15
127731	0	0	18	40	13	18	6	13	16
1278	0	0	13	25	8	44	5	7	17
127841	8	0	14	28	13	8	7	10	16
127845	3	0	19	37	13	35	7	15	18
127943	2	1	21	6	10	29	6	5	16
128025	9	0	9	16	8	6	3	11	15
1281	9	0	14	14	11	6	7	8	10
128102	2	0	31	10	7	56	17	6	5
128209	7	0	12	18	11	15	6	8	13
128218	4.5	0	18	22	14	38	11	10	19
128272	7	2	14	17	8	9	5	9	19
128346	10	2	9	4	13	29	4	9	18
128360	7	0	11	15	14	13	5	9	2
128366	7	0	13	29	13	16	5	13	6
128367	6.5	0	7	20	6	7	4	14	4
128368	5.5	0	13	19	12	6	8	13	1
128371	8.5	0	10	20	8	12	5	9	1
128372	9.5	0	13	19	11	9	6	9	8
128488	8	0	13	23	17	6	9	16	13
128506	6	0	14	27	10	10	8	16	13
128646	10	0	18	16	14	6	6	13	15
128653	5	0	12	29	11	9	5	11	14
1287	0	0	10	15	7	11	3	9	7
128817	8	0	16	22	15	7	8	10	18
128821	7.5	0	17	18	16	12	8	11	20
128822	3	0	12	23	12	13	6	11	13
128859	8	0	11	25	14	9	10	13	24
128861	5	0	12	26	12	6	8	13	15
128872	7	0	7	20	7	26	4	8	7
1290	3	1	15	16	15	10	3	12	1
129025	8	0	12	19	11	15	7	9	12
1293	8	0	10	25	12	6	10	14	23
129401	10	4	8	32	10	4	5	6	5
129446	5	0	8	9	16	7	4	11	10
1295	0	0	20	39	8	15	7	18	20
129521	7	0	14	31	14	12	11	11	16
129530	10	1	11	7	25	8	7	9	13
1297	8.5	0	9	22	13	9	7	9	19
129807	8	0	16	16	6	10	5	9	16
129868	9.5	0	22	27	9	6	8	14	15
130	6	0	4	6	7	13	7	6	6
130013	8	0	4	17	4	4	4	10	1
130075	8	0	14	18	11	12	7	9	10
1301	0	0	15	26	12	19	6	16	14
130106	5	0	15	28	10	9	9	14	17
130120	6	0	11	14	14	5	8	10	7
130132	8	0	8	20	12	2	4	3	1
130162	0	0	62	3	13	54	109	4	18
130540	10	1	11	8	17	9	4	7	14
130560	9	0	12	27	12	7	7	15	24
130589	0	3	31	8	7	53	103	9	22
1308	6	0	10	27	10	8	7	11	11
131034	8	0	16	19	7	15	6	16	18
131149	3.5	0	1	9	1	7	5	6	1
131375	7.5	0	6	24	10	6	6	12	9
131450	0	0	16	6	6	53	7	6	2
1315	0	55	31	3	4	26	62	5	15
131540	10	0	11	15	10	10	8	7	17
131873	10	0	9	11	7	7	5	9	9
131909	9	0	8	22	11	24	4	10	17
132014	8	0	25	23	10	17	9	8	18
132112	9	0	13	28	12	11	11	14	18
132141	9	0	14	24	13	7	7	27	12
132203	6.5	0	8	7	8	7	7	12	5
132241	0	4	44	5	11	49	139	6	16
132243	10	0	17	8	9	12	4	9	22
1325	10	1	11	19	15	7	6	9	24
132724	9	0	6	15	9	5	3	13	4
132954	10	0	15	22	9	7	9	14	14
133015	9	2	7	7	12	3	3	7	9
133121	7	0	17	26	12	10	7	9	23
133396	7.5	0	12	25	13	5	2	12	14
133491	2	0	23	18	8	43	22	8	20
133688	5	0	10	13	11	5	5	11	4
133690	4.5	0	7	13	9	8	6	7	1
133923	8	0	18	14	10	10	8	15	10
1340	1	76	41	10	17	48	106	5	22
134083	8	0	12	26	12	10	6	13	21
134288	6	0	14	23	10	21	6	12	18
134391	9	0	12	9	12	11	10	8	12
1347	0	72	61	21	9	30	108	10	16
1350	0	402	60	4	9	46	144	6	20
135112	0	7	46	4	2	10	85	3	8
135250	7	0	12	29	9	31	9	9	16
1356	10	3	5	6	4	28	2	3	2
1358	8	0	9	19	7	6	5	14	11
135886	8	0	17	26	11	10	5	14	14
1359	5	0	7	21	10	6	7	7	17
135927	8	0	14	25	11	10	7	14	13
135932	9.5	0	13	12	10	51	7	6	18
135935	8	0	13	19	9	8	7	10	7
135941	7	0	11	19	13	9	8	12	15
135946	6	0	14	17	12	9	5	12	11
135948	8	0	10	23	8	5	9	27	9
1360	8	0	16	20	15	7	5	12	15
1361	9	0	13	18	9	4	2	6	10
136263	10	0	11	23	10	5	5	8	19
136306	8.5	0	15	23	16	8	11	16	12
136541	7.5	0	9	14	8	5	7	11	2
1368	10	0	13	8	10	16	5	9	13
1369	10	0	11	26	12	3	6	11	14
137209	0	1	64	9	12	32	126	16	13
137682	10	3	18	4	18	15	6	6	9
137735	9	0	16	21	14	11	7	12	19
137835	5.5	6	26	9	9	48	10	13	5
137902	10	0	12	8	21	14	8	6	17
138065	9	0	11	33	10	35	6	11	20
138240	4	0	18	19	8	10	9	13	14
138255	6.5	0	18	30	15	16	9	27	15
138474	10	1	11	20	17	7	6	16	21
138724	10	1	11	7	21	16	4	7	11
138802	8	0	13	15	12	5	6	12	15
138803	8	0	13	9	14	4	6	8	11
138805	5	0	11	8	14	7	9	13	4
138881	8	0	13	15	10	7	3	10	16
138882	7	0	18	17	15	14	6	10	11
138883	8	0	10	29	13	6	6	12	15
1395	6	0	17	26	11	10	6	11	16
139741	9.5	0	8	7	11	3	6	12	3
140	10	0	13	9	7	8	6	7	18
1401	7	0	14	25	11	10	10	15	16
140258	4	0	15	14	14	8	7	13	20
140290	9	0	16	20	13	12	6	7	21
140458	10	0	5	16	6	5	2	5	1
140462	8	0	7	9	10	9	4	6	11
140464	8.5	0	10	15	13	8	9	12	3
140469	1.5	0	4	19	10	8	7	8	12
140578	9	0	14	22	10	16	6	15	18
1406	7	0	16	30	10	20	7	10	22
140678	10	2	17	16	41	13	9	26	10
140683	7.5	0	12	20	11	5	5	23	18
140687	9	1	13	18	13	8	9	13	14
140691	0	2	80	1	3	39	89	4	20
140706	7	0	14	26	11	8	4	10	19
140732	8	0	12	19	11	11	7	20	17
140776	7	0	15	22	10	22	7	11	17
140831	0	1	55	6	15	43	126	4	17
140832	3	0	13	23	5	17	5	13	18
140836	10	0	10	24	11	12	6	11	18
140850	8	0	3	23	11	6	8	9	1
140856	9	0	13	16	9	9	8	11	9
140870	6	0	15	26	10	7	9	12	17
140873	10	0	15	15	12	8	7	8	23
140876	0	2	18	42	13	30	8	13	20
140880	8	0	18	25	16	8	7	11	20
140881	9	0	14	14	9	45	8	11	20
140894	10	0	13	18	11	11	7	12	15
140902	9	0	18	25	12	7	9	13	22
140947	3	0	19	30	11	11	5	18	15
1411	10	0	18	10	14	9	5	12	16
1415	9	0	21	19	16	12	8	10	15
1416	0	4	41	8	12	37	96	5	20
1417	7	0	14	24	14	11	8	11	17
1418	9	0	16	22	12	6	9	12	15
1419	8	0	13	26	13	8	8	16	24
1420	10	0	13	17	13	6	8	12	19
1421	9	0	16	22	12	6	9	12	15
142679	0	0	31	19	8	20	104	11	6
142683	9	0	17	18	9	25	6	9	16
142684	9.5	0	2	3	6	2	3	4	1
142686	9	10	4	18	7	3	4	4	3
1427	10	5	9	4	33	5	5	5	17
142827	9	0	11	8	12	6	7	6	6
1429	0	7	56	3	7	48	117	5	23
143162	10	0	16	23	13	6	7	9	25
143244	9	9	18	19	11	6	7	10	8
143425	2	0	8	31	10	9	3	11	2
143496	9	0	16	17	14	6	5	11	4
143501	6	0	12	27	7	7	9	14	16
143502	6.5	0	18	30	7	9	7	10	3
143503	5.5	0	19	23	11	10	7	11	19
1436	8	0	18	23	9	5	6	12	22
143630	8	0	11	22	9	8	7	14	14
143662	6	0	2	15	13	4	6	11	1
1439	0	7	44	19	10	51	83	6	25
143941	10	0	12	7	12	18	6	4	15
1441	4	0	27	20	11	17	5	6	16
144124	7	0	12	23	13	7	8	10	7
144125	6.5	0	8	23	7	10	5	9	19
144132	10	5	14	9	34	11	8	4	17
144195	9	2	10	21	10	11	9	10	15
144347	8	0	14	29	17	6	7	19	22
144360	9	0	14	21	8	28	6	11	14
1444	8	0	13	25	7	25	4	6	20
144448	0	0	18	19	7	31	9	9	14
144453	9	0	17	25	12	23	5	10	17
144501	5	0	13	33	15	10	8	12	19
144568	8	0	12	16	9	10	8	11	13
144742	7.5	0	11	16	10	7	10	15	11
144776	6	0	11	9	9	3	13	14	19
144809	7.5	0	16	22	8	7	3	8	7
144817	8	0	17	21	9	6	9	9	14
144920	5.5	0	10	9	10	5	6	7	3
145165	10	14	13	8	13	9	6	6	19
145200	4	0	21	12	10	71	9	8	22
145226	9	0	15	15	13	5	6	11	9
145241	8	0	8	27	6	7	4	8	8
145264	5	0	17	22	10	8	7	9	14
145497	8.5	0	17	20	12	7	7	7	13
145553	0	8	47	6	20	45	120	4	24
145645	10	0	10	20	11	6	6	14	23
145858	3.5	0	13	19	12	8	9	13	22
145942	8	0	5	10	7	6	4	9	1
145946	5.5	0	14	12	12	8	7	20	18
145957	4	0	9	18	10	8	10	11	5
146167	9	0	15	29	12	12	10	10	15
146177	10	0	17	11	10	39	7	8	21
146183	9	0	14	26	9	7	8	5	13
146212	1	0	14	31	9	34	6	10	21
146279	9	0	13	19	16	10	9	12	19
146378	7.5	0	11	31	8	51	5	8	27
146433	9	0	19	18	11	11	7	8	20
146456	10	2	24	8	33	9	6	8	14
146556	8	0	14	22	13	22	8	7	19
146722	3	0	17	30	10	36	6	10	18
146723	6	0	7	22	12	9	6	17	11
146771	10	0	16	12	9	12	10	9	22
146779	8	0	13	20	11	9	9	16	11
146822	10	0	19	31	20	12	7	15	26
146852	8	0	17	21	10	30	10	8	20
146853	10	0	11	12	15	9	6	10	22
146894	3	0	12	22	7	17	5	10	20
1469	7	0	12	15	11	4	8	12	21
1470	7	0	12	13	11	5	9	13	24
147093	6	0	14	27	9	7	7	11	13
147166	2	1	24	10	8	38	71	6	19
147183	8	0	11	24	12	9	6	14	15
147199	6	0	24	55	14	61	6	10	35
1472	5	0	14	24	9	10	7	15	18
1473	5	0	15	16	11	7	5	17	19
147323	9	0	10	19	11	5	4	10	8
147407	9.5	0	13	27	12	7	5	14	7
147409	6.5	0	1	11	8	2	6	7	1
147429	6	0	14	22	12	7	9	12	9
1475	7	0	13	25	9	14	6	15	6
147646	10	0	23	11	12	29	14	8	24
147658	10	0	14	15	18	9	7	39	20
147664	9	0	12	16	17	14	9	26	20
147685	10	3	11	10	20	8	7	44	14
147710	10	0	12	19	11	8	10	13	15
147920	8	0	11	20	13	9	6	16	12
147945	10	0	14	18	13	9	6	14	18
147968	10	6	16	15	10	11	6	7	19
148003	7	0	10	17	10	9	8	7	3
148109	10	0	17	9	11	17	8	7	27
148145	6.5	0	7	11	14	6	8	15	7
148170	5	0	15	15	6	43	6	7	15
148198	9	0	15	13	13	8	6	26	17
148203	0	2	45	13	10	33	156	7	24
148345	8	0	18	25	12	30	6	9	18
148534	10	6	16	26	10	12	6	14	20
148581	9	0	7	26	8	6	6	12	15
148738	9	0	3	29	10	7	6	5	8
148823	5.5	0	7	12	2	8	4	7	1
148870	10	0	14	24	11	6	6	9	20
148979	9	0	8	20	11	7	5	12	7
149018	5	0	13	21	9	6	9	13	10
149041	10	22	12	5	36	11	9	10	16
149069	10	1	17	6	20	21	6	9	18
149086	5	0	15	24	11	18	8	10	16
149095	9	0	16	18	10	8	6	8	18
149134	10	0	12	10	21	7	7	7	19
149233	8	0	8	22	9	6	6	7	2
149281	5.5	0	13	23	4	7	5	19	11
1493	0	250	63	4	4	48	104	2	1
149373	6	0	17	31	19	6	11	11	17
149428	10	0	10	6	20	10	7	6	16
149466	8	0	14	20	11	41	6	11	19
149563	9	0	17	11	11	7	5	8	19
149620	10	0	9	11	8	7	8	5	2
149643	9	1	16	10	15	9	5	10	12
149647	9	0	13	32	8	7	7	10	19
149685	9	0	15	13	16	10	5	9	18
149699	10	4	28	6	18	40	5	9	7
149830	8	0	12	21	9	15	5	7	14
149837	5	1	20	31	12	52	11	10	17
149840	6	4	33	12	8	34	70	5	19
1499	10	49	6	18	6	10	1	13	8
149934	8	0	19	14	14	5	5	13	8
149950	6	0	18	31	9	30	6	8	18
149954	8	0	13	26	9	11	6	18	16
150000	6	0	11	32	12	14	7	20	18
150084	8	0	11	11	12	7	7	18	19
150135	7	0	15	25	15	12	10	13	20
150160	8	0	13	12	14	9	5	12	18
150165	2	0	9	14	8	3	6	9	1
150297	7	0	10	29	8	9	3	15	16
150350	9	0	8	27	8	7	5	9	16
150353	10	1	6	4	15	7	3	4	2
150372	5	0	23	34	10	38	7	9	27
1504	5.5	0	17	26	11	31	8	12	19
150568	5	0	8	36	14	27	5	12	17
150572	9	0	13	20	7	7	8	8	12
1506	10	9	13	6	27	14	5	7	21
150622	7	0	10	18	11	7	6	13	17
150681	8	0	15	24	7	9	7	6	19
150684	0	13	49	4	14	35	130	5	17
150935	6	0	17	20	16	9	7	17	20
150962	0	5	57	3	6	18	147	4	20
150967	8	4	11	7	19	12	12	7	6
150992	7.5	0	70	4	12	58	29	9	24
151056	7	0	14	21	12	12	8	13	17
1511	5	0	15	23	11	7	4	10	14
151171	9	0	14	19	16	12	9	16	16
151234	7.5	0	7	25	11	10	7	12	4
151295	8	0	16	6	18	18	7	4	13
1513	9	11	16	7	24	21	9	11	8
151300	5	0	13	30	6	10	7	10	5
151306	9	0	29	8	11	71	4	6	19
151475	9	0	10	11	6	9	6	10	12
151484	9.5	0	17	14	11	21	7	5	17
1515	7	0	10	20	12	8	6	13	12
151649	10	4	8	11	10	9	8	7	13
151658	9	0	15	18	7	8	5	9	1
151790	8	0	10	13	7	12	3	11	9
1518	7.5	0	12	13	9	6	6	18	13
151871	9	0	12	11	10	5	10	11	13
151887	8	0	17	28	10	9	4	9	16
151888	0	27	44	2	4	14	68	2	1
1520	8	154	19	7	13	34	45	4	12
152024	8	0	11	21	12	6	5	12	13
1521	9	1	21	9	14	31	5	5	28
152118	8	0	10	11	14	7	8	9	21
152138	6	0	18	10	8	3	4	10	1
152225	3	0	9	5	6	42	4	6	1
1524	9	0	23	16	5	66	5	9	19
152404	9	0	20	13	17	10	4	8	20
152405	9	0	20	13	17	10	4	8	20
152503	5.5	3	13	17	11	9	9	11	1
152578	9	0	15	17	15	11	8	11	13
152742	5.5	0	10	28	8	13	4	10	1
152816	7.5	0	9	24	15	24	6	6	15
152831	9	0	13	13	6	4	6	6	9
152992	10	2	16	7	22	37	42	7	13
153090	6.5	0	21	23	13	14	7	12	22
153163	9	0	6	13	10	6	7	7	9
153201	4	0	17	27	11	16	8	9	12
153218	5	0	9	12	8	6	5	8	2
153469	5	0	10	10	9	6	4	8	5
153527	0	46	40	7	28	53	103	4	14
153579	4	0	12	27	13	9	5	8	18
153643	9	0	10	13	11	6	5	13	6
153745	10	0	16	9	13	14	5	9	11
153770	10	0	17	8	9	5	5	6	3
1538	8	0	4	7	2	4	6	9	10
153910	8	0	7	18	11	7	5	8	2
153918	10	10	10	8	32	9	4	16	14
154089	5	0	1	7	5	3	4	6	1
154091	0	1	25	18	4	29	51	5	16
154092	0.5	0	8	16	11	12	8	12	5
1544	9	0	16	21	12	6	7	7	18
154664	8	0	11	15	13	4	6	13	11
154754	8	0	12	14	7	24	5	7	13
154822	8	0	14	18	10	8	6	11	20
1549	8	0	12	25	13	9	10	14	23
154907	4.5	0	1	7	4	2	4	4	1
155006	7	0	17	17	11	12	8	12	13
155038	0	1	24	20	9	71	20	7	17
1551	7	0	15	18	15	7	6	7	7
155184	9	0	14	24	18	10	5	10	22
1553	5	0	15	28	11	10	8	15	17
1555	6	0	13	26	12	10	10	13	18
1556	8	0	12	21	13	7	8	14	21
1557	9	0	5	20	14	7	2	6	1
1558	9	0	7	15	9	4	10	11	8
1562	8	0	10	13	9	7	7	10	8
1572	7	0	16	21	13	12	9	12	13
157247	10	2	8	5	33	6	8	10	8
157273	8	0	17	23	11	8	10	15	22
157310	10	1	18	10	16	14	6	9	23
157381	7.5	0	14	20	10	15	4	9	13
157574	1.5	0	16	28	7	69	17	7	15
1576	8	0	12	30	11	7	9	11	8
1577	7	0	15	18	15	7	6	7	7
157724	6	0	8	19	8	8	8	14	3
157773	2	0	17	18	11	11	5	14	11
157777	5	2	23	16	7	31	67	7	17
157807	1	0	16	32	14	12	6	19	19
157848	9	0	15	22	11	10	6	8	22
1580	5	0	12	23	10	6	9	13	11
158035	8	0	13	21	11	10	10	13	14
158131	8	0	11	26	11	8	9	12	8
1582	10	0	18	23	12	11	6	10	17
158257	10	5	15	12	13	13	5	31	14
158297	10	0	13	23	13	11	7	8	16
1583	9	0	15	32	6	32	33	7	17
158326	8	0	12	19	10	5	5	13	12
158381	8	0	21	36	9	9	8	10	17
158434	8	0	17	28	12	7	8	15	14
158435	8	0	17	24	10	7	8	10	13
158506	10	0	8	7	7	6	3	8	5
158584	0	0	20	7	4	20	14	7	3
1586	9	0	13	15	8	9	5	32	14
158696	0	0	8	9	7	3	6	9	8
1588	8.5	0	19	6	12	19	5	8	8
158835	8	0	6	11	7	3	4	8	4
159195	4	3	10	4	5	37	4	3	6
159686	1	0	21	32	12	49	18	12	18
159963	6.5	0	2	10	7	5	2	13	11
160065	6.5	0	10	18	13	5	10	14	1
160140	0	3	70	9	9	25	110	8	17
160298	10	0	7	10	21	9	3	6	15
160365	1.5	13	15	3	8	23	3	14	7
160419	7.5	0	10	9	10	3	4	11	8
160492	8	0	13	14	16	4	9	12	8
1607	1	0	8	14	11	8	7	9	14
160762	0	0	56	12	8	40	101	8	20
161003	8	0	7	17	15	8	8	8	7
161142	6.5	0	19	14	9	37	6	6	12
161176	10	9	21	6	38	48	6	7	20
161497	10	0	8	8	8	3	3	2	9
161502	5.5	0	9	34	6	9	5	11	12
161514	7	0	16	30	9	10	9	22	11
161582	8	0	11	17	15	6	7	16	17
161753	8	0	22	17	12	31	5	10	25
162282	4	0	15	19	8	6	6	14	14
162461	8	0	13	20	12	18	12	7	16
162605	7.5	0	7	27	4	5	5	5	10
162632	7	0	9	26	5	7	4	6	9
1629	0	2	59	4	7	44	130	3	23
162998	9	0	16	15	12	10	5	19	22
163	0	59	76	7	8	32	122	9	16
1630	1	0	16	32	13	11	7	15	19
163071	3	0	14	35	13	50	8	16	21
163223	5	0	10	10	16	8	7	20	11
163351	9	0	11	12	9	11	5	7	16
163479	9	0	4	30	8	4	6	10	3
163720	8	0	9	16	10	6	6	19	7
163778	6	0	12	17	11	8	8	14	12
1638	7	0	14	19	11	10	8	12	15
164091	10	4	17	9	19	51	6	12	17
164118	9	6	15	11	11	14	5	6	18
164153	5	0	13	30	14	10	7	10	18
1642	8	31	28	5	20	29	4	6	22
164237	5.5	0	12	25	9	10	7	14	11
164380	6	0	12	30	8	6	7	15	20
1644	6	0	18	21	12	7	6	16	11
1645	7.5	0	2	9	4	5	5	6	1
1646	2	0	10	16	10	11	8	19	5
164656	10	0	23	8	10	40	6	6	20
164668	3.5	1	34	8	10	60	7	6	15
165530	7	0	14	30	14	12	8	8	17
165545	10	0	13	6	31	15	7	7	14
165721	8.5	0	15	25	11	9	8	10	22
165829	0.5	0	9	17	6	11	5	9	13
166336	4	0	17	24	9	30	15	10	9
166655	10	0	10	13	13	8	8	20	19
1669	7	0	16	32	10	10	10	10	14
166968	10	12	6	20	9	8	6	9	15
167	6	0	1	4	1	5	2	5	1
1670	5	0	15	21	9	6	5	15	10
1671	6	0	11	29	10	10	6	14	11
167127	0	0	13	23	17	12	11	16	22
1672	6	0	15	27	15	10	9	12	17
167410	7	0	15	18	14	19	5	9	10
167465	7	0	17	25	11	26	5	8	15
167681	0	0	13	39	9	21	4	6	13
167838	0	4	33	4	14	44	7	6	9
168090	4	0	19	18	12	12	10	13	18
168391	9	0	13	21	13	15	7	21	16
168400	9	0	8	5	8	3	4	8	11
168417	8	0	9	12	11	8	5	15	1
168507	10	0	13	19	13	6	8	8	16
168537	5	0	13	28	10	25	9	13	12
168975	3	0	12	13	14	6	9	15	10
169044	0.5	0	13	33	12	11	10	19	20
169355	7	0	11	15	11	4	7	5	4
169693	10	0	12	7	6	20	5	8	12
170370	6	0	13	24	11	14	7	14	10
170371	5	0	23	28	12	20	9	8	16
170392	9	0	10	18	13	8	7	7	10
170425	9	0	9	23	12	5	6	12	15
170482	4	0	15	22	14	11	8	13	11
170572	9	0	15	23	15	10	7	11	14
170575	5	1	18	22	12	17	5	13	9
170591	8	0	16	25	12	12	8	14	11
170712	9	0	12	11	15	10	7	11	15
170959	0	14	57	4	4	27	110	7	17
171024	0	0	16	25	14	53	11	7	9
171220	10	3	11	10	37	10	5	8	29
171392	0	23	53	3	5	21	143	3	25
171558	8	0	32	11	12	57	6	5	26
1720	7	0	7	14	11	5	5	10	4
173	8	0	16	14	10	5	12	14	11
1731	7	32	43	6	12	57	30	5	18
1733	9	0	20	16	12	29	8	9	17
1734	3.5	0	9	14	9	6	7	10	4
1755	4	0	9	15	12	10	7	10	1
1767	8	0	13	15	12	10	13	14	13
1773	10	2	13	8	29	34	7	9	17
1776	2	0	26	5	5	57	11	5	9
1791	8	0	10	24	9	14	4	10	18
1805	9	0	24	25	9	12	6	10	17
181	5	0	30	6	36	61	26	7	18
1811	7.5	0	12	18	10	5	5	14	5
1814	9	0	13	7	12	6	6	5	14
1822	0	50	34	4	9	63	13	4	17
1823	6.5	0	6	17	9	5	9	13	12
1828	7	0	2	7	11	6	3	5	1
183	8	0	14	23	11	10	8	10	16
1830	8	0	12	16	13	9	9	10	11
1842	10	0	11	8	10	9	4	8	9
187	8	0	17	31	18	7	7	18	19
1880	0	279	57	5	19	51	92	5	13
1893	10	0	16	8	29	8	8	6	15
1906	0	1	12	26	6	35	25	5	13
191	0	18	14	34	9	45	7	7	19
1910	6	0	12	16	8	8	6	16	15
191585	10	0	31	6	18	59	8	7	19
192134	8	0	12	25	9	10	5	10	12
192666	9	0	14	31	9	7	7	9	18
193629	10	0	15	14	10	6	7	10	14
1950	6.5	0	10	22	11	9	8	10	6
1951	10	4	20	10	19	54	6	6	19
196074	0	3	43	4	7	30	98	4	21
196264	0	2	105	4	6	13	131	8	19
196335	4	0	11	18	11	7	9	7	8
196374	7	0	12	27	12	9	7	13	18
196410	0	0	17	17	9	57	16	8	18
196415	0	0	37	2	5	46	22	3	6
196472	8	0	15	16	17	7	10	15	15
196475	0	0	15	22	10	7	6	15	11
