CPGfrac	RPKM	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3	Input
100422976	10	0	9	17	11	53	3	9	11
100422979	10	7	17	5	21	34	8	5	19
100422981	9	1	10	5	25	29	4	2	1
100422983	10	0	8	32	10	8	6	10	18
100422984	10	0	23	6	15	16	6	6	13
100422986	9	0	15	16	10	8	9	6	22
100422989	9	0	26	9	15	47	30	7	21
100422990	9	0	10	23	10	16	9	11	15
100422991	0	17	27	5	15	75	67	3	12
100422992	8.5	0	13	25	11	7	7	9	7
100422993	10	0	8	4	27	11	5	6	2
100422994	9	0	10	20	9	8	4	7	14
100422996	6.5	0	17	9	12	28	9	10	25
100422999	4	0	12	23	11	21	5	15	19
100423001	5.5	0	10	26	9	12	4	5	1
100423002	10	0	8	4	27	11	5	6	2
100423005	10	0	6	6	8	7	5	8	3
100423012	10	3	14	10	57	11	4	8	21
100423015	5	0	9	26	11	7	6	14	14
100423018	9	0	11	10	8	5	7	9	14
100423019	5	0	12	9	7	4	6	8	1
100423025	9	0	16	20	17	9	5	6	12
100423026	3	0	10	18	9	6	6	10	14
100423027	7	0	17	19	12	8	8	16	15
100423028	10	0	18	13	12	10	6	9	18
100423030	8	0	16	19	9	9	8	12	18
100423032	10	0	12	7	28	9	5	12	14
100423033	9	0	12	7	16	12	6	8	15
100423035	10	0	16	17	14	8	4	10	24
100423036	7.5	0	11	16	14	7	9	9	7
100423041	10	0	13	28	18	8	9	11	19
100423042	4	0	12	17	5	19	6	8	3
100423043	10	0	16	24	13	43	7	9	17
100431172	9	0	10	24	8	8	5	13	13
10044	0	18	52	5	10	61	81	6	23
100462953	10	0	11	7	12	9	5	8	8
100462981	10	0	5	7	15	10	3	9	4
100462983	10	0	4	4	26	12	3	2	1
100463285	10	0	13	13	19	6	7	25	17
100463289	8	0	7	13	9	7	6	11	16
100463486	10	2	7	8	23	7	6	9	3
10047	9	0	14	21	11	9	10	8	20
100499183	7	0	12	15	6	1	6	14	9
100500801	7	0	18	28	14	14	5	8	23
100500802	10	2	2	6	21	3	4	5	1
100500803	9	0	9	14	24	6	3	20	13
100500805	9	3	23	4	12	31	11	4	7
100500807	10	1	6	4	11	6	2	7	4
100500809	10	0	5	15	5	6	5	24	6
100500813	6	0	13	26	13	9	9	9	13
100500814	8	0	14	23	11	10	10	14	20
100500817	4.5	0	10	19	12	8	5	17	3
100500818	0	0	20	27	7	42	3	11	13
100500819	9	3	23	6	38	48	14	6	19
100500821	9	0	14	23	8	7	8	15	11
100500823	5	0	15	14	10	6	11	25	12
100500827	10	5	19	10	37	9	7	8	14
100500829	8.5	0	10	18	11	8	4	20	16
100500832	10	4	9	7	24	7	7	8	15
100500834	5	0	1	4	3	4	4	5	1
100500836	5	0	13	13	13	7	7	13	9
100500837	6	0	15	21	13	5	6	9	17
100500843	10	0	11	8	13	16	6	6	15
100500844	6	0	12	23	10	10	8	13	19
100500845	8	0	9	21	13	30	4	11	16
100500849	10	18	13	7	34	12	4	8	9
100500850	10	3	13	7	16	9	4	15	10
100500851	10	3	16	6	23	14	4	13	19
100500853	9	3	23	7	31	51	5	8	21
100500854	10	3	10	7	37	15	6	8	6
100500856	0	0	65	6	12	48	13	4	14
100500858	7	0	14	32	13	14	11	12	11
100500859	10	0	19	9	14	10	6	12	13
100500865	10	1	11	11	26	9	9	7	12
100500866	7	0	15	8	9	40	7	18	4
100500871	7	0	14	33	13	14	11	12	13
100500875	8	0	11	16	11	8	8	14	15
100500878	5	3	20	4	19	42	7	5	10
100500879	7	0	17	18	14	8	7	18	14
100500881	9	0	4	5	5	6	1	2	2
100500883	0	0	8	3	10	51	4	4	1
100500885	8	0	15	8	13	57	3	5	21
100500887	8	0	4	8	3	3	2	4	8
100500891	7	0	18	16	12	10	8	11	16
100500895	8.5	0	11	12	12	5	5	15	2
100500899	10	0	7	10	7	43	4	6	8
100500900	9	0	14	8	13	7	5	10	12
100500902	9	0	14	23	8	7	8	15	11
100500909	9	0	13	15	13	13	7	12	16
100500913	9	1	15	4	25	32	7	8	8
100500919	7	0	9	11	8	8	8	13	12
100500920	5	0	13	13	13	7	8	13	9
100500938	9	0	12	14	16	7	7	8	13
100505385	6	0	9	10	10	6	6	13	1
100505474	10	0	5	8	5	6	5	7	1
100505478	5	0	8	19	4	25	5	4	15
100505495	8	0	16	30	11	11	7	13	16
100505536	6	0	8	11	13	6	8	9	5
